backbone,dataset,horizon,k,mse,mae,improvement_vs_zero_shot_pct,latency_ms
DLinear,ETTh1,96,1,0.46953392028808594,0.4661656618118286,0.0,769.6576999951503
DLinear,ETTh1,96,2,0.5275939702987671,0.49586355686187744,-12.365464453570892,1961.156800003664
DLinear,ETTh1,96,3,0.513248085975647,0.487516850233078,-9.310118779222574,2261.257400001341
DLinear,ETTh1,96,6,0.48700186610221863,0.4730834364891052,-3.7202734582871257,1882.823300002201
DLinear,ETTh1,96,12,0.4585416316986084,0.4577324092388153,2.3411063853987675,2141.5912000011303
DLinear,ETTh1,96,24,0.4474322199821472,0.45093658566474915,4.707157321536656,2398.468599996704
